lulc_id,lulc_description,affected_by_infra,usle_c,usle_p,root_depth,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D,nathab
1,Annual Crop,1,0.25,1,2100,0.4,0.4,1.1,1.1,1.2,1,0.4,1.1,1.1,1.05,1.03,1,67,78,85,89,0
2,Brush/Shrubs,1,0.01,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,39,61,74,81,1
3,Built-up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,0
4,Closed Forest,1,0.0001,1,5200,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79,1
5,Fishpond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,0
6,Grassland,1,0.05,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,39,61,74,80,1
7,Inland Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,0
8,Mangrove Forest,1,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,36,60,73,79,1
9,Marshland/Swamp,1,0.0001,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,36,60,73,79,1
10,Open Forest,1,0.001,1,3700,1,1,1,1,1,1,1,1,1,1,1,1,37.5,60.5,73.5,80,1
11,Open/Barren,0,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,77,86,91,94,0
12,Perennial Crop,1,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,65,75,82,86,0
