lulc_id,lulc_description,ind_desc,long_desc,shorthand,usle_c,usle_p,root_depth,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D,Rk,protective_distance,notes
1,Airport/,Bandara/,The appearance of airports and ports that are large and allow for their own deliniation,Built-up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,"assuming paved so doesn't generate any sediment (hence p = 0), but doesn't hang onto anything either (hence c = 1)"
2,Dryland Agriculture,Pertanian Lahan Kering,"All agricultural activities on dry land such as moor, mixed gardens and fields.",Annual Crop,0.25,1,2100,0.4,0.4,1.1,1.1,1.2,1,0.4,1.1,1.1,1.05,1.03,1,82,82,82,82,5,,
3,Dryland Agriculture Mix Shrubs,Pertanian Lahan Kering Campur Semak,"All kinds of dryland farming are criss-crossed with shrubs, thickets and former logging forests. Often appears in shifting farming areas, and rotation of karst land planting.",Perennial Crop,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,36,60,73,79,4,500,
4,Forest Plantations,Hutan Tanaman,"All plantation forest areas, both planted and unplanted (still in the form of open land). Location identification can be obtained with the Forest Plantation Distribution Map",Open Forest,0.001,1,3700,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82,4,500,
5,Marsh Shrubs,Semak Belukar Rawa,Areas of former swamp/mangrove forests that have regrown or areas with sparse (natural) tree coverage or areas with a predominance of low vegetation (natural). This area usually does not show any more logging traces / spots,Marshland/Swamp,0.0005,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,98,98,98,98,2,1000,"since mangrove Kc is 10% higher than forest kc, making marshland Kc 10% higher than herbaceous kc"
6,Mining,Pertambangan,"Open land used for open-pit mining activities (e.g.: coal, tin, copper etc.), as well as closed mining land that can be identified from imagery based on the association of the appearance of the object. Small-scale or unidentified covered mining lands are classified according to their surface appearance.",Open/Barren,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,root_depth halfway between bare/water and herbaceous
7,Open Land,Lahan Terbuka,"All open land appearances without vegetation (mountaintop rock outcrops, volcanic craters, sandbar, beach sand), fire-scarred open land, and open land overgrown with reeds/grass. The appearance of open land for mining is classified as mining, while open land clearing is included in the class of agriculture, plantations or plantation forests.",Open/Barren,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,root_depth halfway between bare/water and herbaceous
8,Paddy Field,Sawah,All wetland farming activities are characterized by a pattern of ripping.,Halfway between Annual Crop and Swamp,0.12525,1,2100,0.435,0.435,0.785,0.785,0.835,0.735,0.435,0.785,0.785,0.76,0.75,0.735,90,90,90,90,5,,
9,Plantations,Perkebunan,"All plantation forest areas, both those that have been planted and those that have not (still in the form of vacant land). Location identification can be obtained with the Plantation Distribution Map. People's plantations, which are usually small in size, will be difficult to identify from images or distribution maps, so other information is needed, including field data.",Perennial Crop,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,36,60,73,79,4,500,root depth halfway between open forest and herbaceous; Kc halfway between forest and herbaceous
10,Pond,Tambak,Inland or salting fishery activities that appear with a pattern of tanning around the coast.,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,,
11,Primary DryLand Forest,Hutan Lahan Kering,,Closed Forest,0.0001,1,5200,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79,1,2000,
